nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0797033	Nikki Siegenberg	\N	\N	costume_designer,costume_department	tt0303017,tt0221197,tt0299712,tt1567432
nm0797034	Mark 'Trix' Siegenfeld	\N	\N	\N	tt0126036
nm0797035	Andrew Siegenthaler	\N	\N	actor	tt0099399
nm0797036	Peter Siegenthaler	\N	\N	actor	tt0079234,tt4552610,tt0103770,tt9167572
nm0797037	Pierre Siegenthaler	1945	\N	actor	tt6276768,tt0256761,tt11349196,tt8984382
nm0797038	Horst Sieger	\N	\N	actor,archive_footage	tt0200115,tt0375121,tt0181630,tt0200114
nm0797039	Mascha Sieger	\N	\N	actress	tt0072414
nm0797040	Otto Sieger	\N	\N	set_decorator	tt0055666
nm0797041	Ted Sieger	1958	\N	writer,director,producer	tt4439784,tt0934841,tt1448092,tt6059486
nm0797042	Harald Siegeris	\N	\N	actor	tt0174743
nm0797043	Andreas Siegers	1975	\N	actor	tt0107349
nm0797044	Alfred Siegert	\N	\N	director,writer,cinematographer	tt0169919,tt27951063,tt27951059,tt27951065
nm0797045	Dietmar Siegert	\N	\N	production_manager,assistant_director,location_management	tt0073631,tt0071935,tt0075232,tt0070006
nm0797046	Hubertus Siegert	1959	\N	producer,director,writer	tt3985616,tt0276819,tt0466044,tt17449172
nm0797047	Nanette Siegert	1935	2012	miscellaneous,producer	tt0106918,tt0116277,tt0076740,tt0093300
nm0797048	Ralf Siegert	\N	\N	stunts	tt0169272
nm0797049	Reinhold Siegert	1899	1965	actor	tt0031016,tt0044322,tt0390626,tt0048332
nm0797050	Rolf Siegert	\N	\N	art_department,production_designer,set_decorator	tt0806910,tt0299410,tt0891385,tt0346230
nm0797051	Sigi Siegert	1953	\N	actress	tt0111957,tt0239450,tt0217076,tt1183133
nm0797052	Camilla Siegertsz	1969	\N	actress	tt3855240,tt2707150,tt1371633,tt2070742
nm0797053	Jeff Siergey	\N	\N	producer,director,art_department	tt0239395,tt0181739,tt0268380,tt0268397
nm0797054	Scott Siegfreid	\N	\N	actor	tt0222579
nm0797055	Siegfried	1973	2024	composer,director,cinematographer	tt2130080,tt0363056,tt0156749,tt7735932
nm0797056	Siegfried	\N	\N	make_up_department	tt0104976
nm0797057	John Siegfried	1930	\N	actress	tt0052442,tt0070823,tt0055666,tt0056742
nm0797058	Judith Siegfried	\N	\N	actress	tt0089360
nm0797059	Norbert Siegfried	\N	\N	actor	tt0055689,tt0055666,tt0059988,tt0059999
nm0797060	Regula Siegfried	\N	\N	actress	tt0806910,tt0086596,tt0103031,tt28664534
nm0797061	Robert Siegfried	\N	\N	make_up_department,writer	tt0140535,tt1745899
nm0797062	Shula Siegfried	1935	2005	casting_director,miscellaneous,actress	tt0168899,tt0083920,tt0116081,tt0075939
nm0797063	Sibylle Siegfried	\N	\N	soundtrack	tt0061578,tt0063219
nm0797064	V.C. Siegfried	\N	\N	actor,writer,cinematographer	tt0229482,tt0128343
nm0797065	Vanina Siegfried	\N	\N	actress	tt0235754
nm0797066	Vincent Siegfried	\N	\N	producer	tt0126909
nm0797068	Gerda Siegl	\N	\N	actress	tt0051556
nm0797069	Hannes Siegl	1931	2009	actor	tt0365721,tt0382415,tt0149449,tt0772794
nm0797070	Jürgen Siegl	\N	\N	camera_department	tt0094407,tt0098721,tt0082429,tt0093070
nm0797071	Melanie Siegl	\N	\N	\N	\N
nm0797072	Renate Siegl	\N	\N	editorial_department	tt0120804,tt0215750,tt0426578,tt0363163
nm0797073	Sarah Siegl	\N	\N	writer	tt0488438,tt0200153,tt0211890
nm0797074	Carol S. Siegle	\N	\N	miscellaneous	tt0094862,tt0093011,tt0116323,tt0105291
nm0797075	Ray Siegle	\N	\N	actor,producer,stunts	tt6473344,tt11743610,tt6723592,tt5013056
nm0797076	Ben Siegler	1958	\N	actor,writer	tt1014807,tt0119099,tt0257076,tt0120179
nm0797077	Bill Siegler	\N	\N	producer,production_manager	tt2391166,tt0111987,tt0159876,tt0094512
nm0797078	Bonnie Siegler	\N	\N	miscellaneous	tt0104094
nm0797079	Elijah Siegler	\N	\N	actor	tt0088502,tt0335674,tt0080200,tt0225149
nm0797080	Gary Siegler	\N	\N	producer	tt0110400
nm0797081	John Siegler	1951	\N	music_department,composer,actor	tt5884052,tt3622592,tt0168366,tt0190641
nm0797082	Marc Siegler	1944	\N	actor,writer,producer	tt0082431,tt0093185,tt0119174,tt0100436
nm0797083	Marie-France Siegler	\N	\N	assistant_director,director,writer	tt0231181,tt0062136,tt1869531,tt0062420
nm0797085	Nathaniel Siegler	\N	\N	editorial_department,actor,writer	tt0274293,tt3460038,tt0839004,tt0320849
nm0797086	Neil Siegler	\N	\N	camera_department,editorial_department	tt0069001,tt0067658
nm0797087	Otto Siegler	\N	\N	actor	\N
nm0797088	Robert Siegler	1934	2019	director,writer,producer	tt0066376
nm0797089	Scott M. Siegler	1947	\N	producer	tt0118290,tt0077904,tt0080545,tt0209582
nm0797090	Ingmarie Siegling	1941	\N	actress	tt0099777
nm0797091	Klaus-Peter Siegloch	1946	\N	actor,producer	tt0246368,tt10045864,tt0442637,tt6453112
nm0797092	Michael Sigloch	\N	\N	cinematographer,camera_department	tt0112168,tt0806910,tt0170949,tt0479846
nm0797093	Joe Siegman	1935	2021	producer,writer,production_manager	tt0198079,tt0198082,tt0346231,tt1422777
nm0797094	George Siegmann	1882	1928	actor,director,assistant_director	tt0004972,tt0182421,tt0012752,tt0019130
nm0797095	Johanna Siegmann	\N	\N	actress,miscellaneous	tt2084952,tt0279972,tt14214082,tt3948088
nm0797096	Mercedes Le Picard	1913	2002	actress	tt0006592
nm0797097	Angelika Siegmeier	\N	\N	editor,editorial_department,sound_department	tt0082096,tt0101458,tt0069022,tt0081834
nm0797098	Elie Siegmeister	1909	1991	music_department,composer	tt0053351,tt0271280,tt0029389,tt0050072
nm0797099	Annegret Siegmund	\N	\N	actress	tt0121027,tt0383404,tt0125486,tt0089390
nm0797100	Charles Siegmund	\N	\N	actor	tt0059546,tt0062208
nm0797101	Eugene Siegmund	\N	\N	camera_department	tt0105104,tt0112384,tt0102724
nm0797102	Günther Siegmund	1927	1981	director,actor,writer	tt0290257,tt0289285,tt0158386,tt0076420
nm0797103	Katrina Siegmund	\N	\N	sound_department	tt0259711,tt0120746,tt0177971,tt0266697
nm0797104	Marcel Siegmund	\N	\N	director,writer	tt0219527,tt0087248
nm0797105	Reinhard Siegmund	\N	\N	production_designer,art_department,art_director	tt0072693,tt0076113,tt0131157
nm0797106	Siegfried Siegmund	\N	\N	actor	tt0088938,tt0066078,tt0174306,tt0126949
nm0797107	Christa Siegmund-Johns	\N	\N	actress	tt0416372,tt1384355,tt0806879,tt0141113
nm0797108	Bill Siegrest	\N	\N	actor	tt0090093
nm0797109	Emilio Siegrist	\N	\N	actor	tt0297520,tt0085212,tt0077887,tt0080575
nm0797110	Paul Siegrist	\N	\N	director,actor	tt0168408,tt0268795,tt0217195,tt12240810
nm0797111	Sven Siegrist	\N	\N	cinematographer,camera_department	tt0404199,tt0279965,tt0246929,tt6224422
nm0797112	Tom Siegrist	\N	\N	producer,production_manager	tt0887261,tt0277370,tt7086706
nm0797113	Vincent Siegrist	\N	\N	actor	tt0088463,tt0107175,tt11955756,tt0168298
nm0797114	Annelise Siegstad	\N	\N	costume_designer	tt0082583
nm0797115	Anna Siegård	\N	\N	writer,script_department,miscellaneous	tt0103523,tt0310451,tt0310425,tt0149518
nm0797116	Joachim Siegård	\N	\N	director	tt0997400,tt0122364,tt0446456
nm0797117	Jeanette Sieh	\N	\N	actress	tt0119313,tt0237500,tt0409548,tt11632620
nm0797118	Celia Sieiro	\N	\N	actress	tt0110515
nm0797119	Julia Sieiro	\N	\N	producer,writer	tt0110515,tt1558728
nm0797120	Piotr Siejka	1960	\N	actor	tt0253474,tt0262975,tt0093797,tt0098096
nm0797121	Ekkehard Sieker	\N	\N	miscellaneous,writer	tt0136461,tt3814852,tt4277128
nm0797122	Halina Siekierko	\N	\N	actress	tt0052080
nm0797123	Albin Siekierski	1920	1989	writer,actor	tt0056971,tt0081295,tt0076493,tt0429426
nm0797124	Gerd Siekmann	\N	\N	\N	tt0163003,tt0208651
nm0797125	Marion Siekmann	\N	\N	costume_department,costume_designer	tt0084476,tt0138454,tt0108985,tt0113334
nm0797126	Basile Siekoua	\N	\N	actor	tt0120494,tt9618160
nm0797127	Celine Sielaff	\N	\N	actress	tt0106548
nm0797128	Harald Sielaff	\N	\N	actor,miscellaneous,soundtrack	tt0054789,tt0054337,tt0052068,tt0274864
nm0797129	Stanislaw Sielanski	1899	1955	actor	tt0029371,tt0027340,tt0031005,tt0027290
nm0797131	Hubert Sielecki	1946	\N	director,producer,cinematographer	tt0104814,tt0110673,tt0089137,tt0112311
nm0797132	Pat Sieler	\N	\N	sound_department	tt0226860,tt0225407
nm0797133	Scott Sieler	1959	\N	\N	\N
nm0797134	Mike Sielewicz	\N	\N	camera_department	tt0119778,tt0215719,tt0194915,tt0191177
nm0797136	Charlotte Sieling	1960	\N	director,actress,writer	tt9308390,tt1740683,tt30886032,tt1526318
nm0797137	Wolfgang Sieling	\N	\N	actor	tt0247024,tt0290472
nm0797138	Ute Sielisch	1924	\N	actress	tt0040156,tt0042495,tt0222726,tt0237807
nm0797140	Heinz Sielmann	1917	2006	director,cinematographer,producer	tt0163638,tt0163804,tt0163671,tt0305025
nm0797141	Paul Sieloff	\N	\N	actor	tt0106839
nm0797142	Andrzej Sielski	\N	\N	composer,actor	tt0101724,tt12368568,tt0860428
nm0797143	Pat Sielski	\N	\N	sound_department	tt0116659,tt0149791,tt11289590,tt0239195
nm0797144	Jerry Siem	\N	\N	casting_department	tt0105265,tt0475563
nm0797145	Kåre Siem	1914	1986	actor	tt0205489,tt0062011,tt0069197,tt32445960
nm0797146	Ketil Siem	\N	\N	actor	tt0090736
nm0797147	Frank Sieman	1908	1992	actor	tt0059362,tt0054518,tt1746063,tt0989125
nm0797148	Ray Sieman	1941	\N	camera_department,cinematographer	tt0969784,tt0077020,tt2040116,tt0294205
nm0797149	Renee A. Siemann	\N	\N	miscellaneous,producer	tt1289446,tt0113991,tt0114654,tt0119998
nm0797150	Casey Siemaszko	1961	\N	actor,soundtrack,archive_footage	tt0096487,tt0088763,tt0092005,tt0096874
nm0797151	Nina Siemaszko	1970	\N	actress,archive_footage	tt0109068,tt0112346,tt0120241,tt2132285
nm0797152	Patrick R. Siembieda	\N	\N	miscellaneous,art_department	tt1060277,tt0112715,tt0120382,tt0162650
nm0797154	Sasha Siemel	\N	\N	actor,writer,archive_footage	tt11788698,tt0029071
nm0797155	Hes Siemelink	\N	\N	miscellaneous	tt0115067
nm0797156	Alyssa Simon	\N	\N	actress,soundtrack	tt15046194,tt13922580,tt5740994
nm0797157	Caroline Siemens	\N	\N	actress	tt0100875
nm0797158	Crystal Siemens	\N	\N	actress,costume_designer	tt3950678,tt0177655
nm0797159	Curtis Siemens	\N	\N	actor	tt0087091
nm0797160	John Siemens	\N	\N	actor,casting_department	tt0091725,tt8989138
nm0797161	Stephanie Siemens	\N	\N	costume_department,costume_designer	tt0395843,tt0128419,tt0331952,tt6742558
nm0797162	Monika Siemer	\N	\N	actress	tt0042623
nm0797163	Bill Siemers	\N	\N	art_department,actor,producer	tt0094837,tt0116371
nm0797164	Friedrich Siemers	1922	1988	actor	tt4498780,tt0066694,tt0067343,tt0068034
nm0797165	Gail Siemers	\N	\N	miscellaneous	tt0075860,tt0078723,tt0082764
nm0797166	Helga Siemers	\N	\N	actress	tt1611187,tt0047176,tt0058284,tt0787247
nm0797167	John Siemes	\N	\N	\N	\N
nm0797168	Anna Siemieniuk	\N	\N	production_manager,miscellaneous	tt5278832,tt0312700,tt0096689,tt8612792
nm0797169	Alina Sieminska	\N	\N	editorial_department,editor,miscellaneous	tt0177238,tt0078516,tt0380818,tt0080770
nm0797170	Waldemar Sieminski	1942	\N	writer	tt0084410,tt0089433
