tconst	directors	writers
tt10127964	nm10571896,nm9923427	nm10571896
tt10128020	nm9832523	nm9832523,nm13886519
tt10128846	nm0000338	nm0000338
tt10131024	nm0142286	nm10343741
tt10131028	nm1277685	nm1277685
tt10132068	nm6615114	nm4827147,nm2889406,nm6615114
tt10132196	nm0398719	nm10596617,nm0503317,nm4317612
tt10132488	nm0946937	nm5066853
tt10132874	nm5698446	\N
tt10132976	nm0308042	nm0140643,nm0486624,nm0308042
tt10133702	nm0190790	nm0190790
tt10134812	nm1536558,nm2407007	nm1536558
tt10136110	nm6347842	nm6347842
tt10136434	nm0322894	nm0503287
tt10136634	nm9768307	nm9768307
tt10137324	nm2728080	nm2728080,nm10882308
tt10138068	nm2392172	nm8989499,nm10599922,nm2392172
tt10140014	nm4868245	nm4868245
tt10140778	nm10600764	nm10600764
tt10140990	nm1628224	nm6185079,nm1628224
tt10141026	nm9457572	nm9457572
tt10141678	nm3521846	nm10599362
tt10143308	nm4193380	nm4193380,nm2541107
tt10144276	nm10602235	nm10602235
tt10146208	nm5393462	nm5393462,nm9037042,nm12470931,nm9037039,nm12094146,nm7674855
tt10146532	nm10603168	nm10603168
tt10147370	nm4681303,nm4680944	nm4681303
tt10147568	nm10603686,nm10603685	nm10603686,nm10603685,nm0516310
tt10147580	nm0039402	nm1113380,nm1058356,nm1515005,nm0625846,nm0667714,nm0707392,nm0903474
tt10147590	nm0582260,nm2639459	nm0582260
tt10147910	nm3873857	nm3873857,nm10603928
tt10147924	nm8758608	nm8758608,nm10603954
tt10148118	nm1153494	nm1153494
tt10148150	nm0024869	nm0024869
tt10149080	nm8804521	nm3180926,nm1747436,nm11186179,nm3180536,nm4252090,nm3871978
tt10149938	nm5705502	nm4001689,nm1586517,nm5705502
tt10149976	nm10604752	nm10604752
tt10150204	nm0512303	nm0512303
tt10150354	nm7709259	nm10605073,nm7709259
tt10150634	nm4183715	nm4183715,nm12408822,nm11562921
tt10150676	nm11027501	nm11027501
tt10150684	nm3888869	nm3888869,nm10605321
tt10150908	nm3310766	nm3310766
tt10150920	nm3408636	nm3408636
tt10151048	nm2053688	nm2103613,nm2053688
tt10151054	nm1802374	nm1802374,nm1667551,nm0302034
tt10151074	nm7477781	nm7477781,nm4375396,nm4502556
tt10151386	nm2729685	nm3841452,nm2729685,nm6169613,nm8409591
tt10151656	nm0618405	nm0618405
tt10151854	nm2497546	nm2849655,nm0604555,nm1791910,nm1304148,nm0551376
tt10152488	nm1462495	nm4554522,nm1462495,nm3321995,nm1287124
tt10152582	nm10606727	\N
tt10152722	nm0643282	nm0956299,nm0643282,nm2416007
tt10152736	nm1777967	nm2353436,nm1777967,nm1802449,nm4157919
tt10152746	nm9835260	nm9835260
tt10153510	nm0190840,nm6506138	nm6506138,nm0217052
tt10153822	nm4823973	\N
tt10155220	nm0003713	\N
tt10155748	nm0777881	nm0777881,nm2381474
tt10155896	nm8825205	nm8825205
tt10155932	nm0134224	nm0134224
tt10156122	nm8065331	nm8065331
tt10156216	nm5841141	nm5841141
tt10156584	nm2155567	\N
tt10156586	nm1835787	nm10608483,nm1835787
tt10157810	nm5387127	nm1058356
tt10160514	nm10609779,nm7780003	\N
tt10160886	nm0020491	nm4686553,nm0330719,nm2922750,nm1760850,nm2309894
tt10160896	nm1557577,nm5577948,nm9921365	nm1557577,nm9921365,nm0044344
tt10160974	nm3547147	nm3547147
tt10160976	nm1980431	nm1968372,nm3915456,nm4868455,nm1490123,nm2477891
tt1016150	nm0074163	nm0074163,nm0665510,nm1748106,nm0718871
tt10161612	nm8457038	nm8457038
tt10161886	nm0614682	nm0551991,nm0066818,nm0804455,nm0896828
tt10162872	nm5720768	nm5720768
tt10163896	nm6256133	nm6256133
tt10164206	nm1274199	nm1393363,nm1274199
tt10165616	nm4821851	nm7463164,nm3986433
tt10165918	nm1231248	nm6062383,nm1231248
tt10165952	nm3663591	nm6950379,nm3663591
tt10166508	nm2318036	nm2318036,nm0263727
tt10166648	nm7230472	nm5936549
tt10166880	nm3695779	nm4254140
tt10167116	nm4084536	nm4084536
tt10167422	nm0840485	nm2362148,nm0840485
tt10167850	nm6669221	nm8300629
tt10168094	nm2135668	nm3113915,nm2135668,nm0604850
tt10168670	nm0345174	nm1738734,nm12444098
tt10168672	nm0603299	nm3798121,nm1249052,nm0603299,nm0241121,nm0500976,nm1267707,nm2147288,nm0427261
tt10171472	nm0583654	nm0583654
tt10171796	nm1180915	nm2276427,nm2759628
tt10171848	nm10615418	nm10615418
tt10171876	nm4957491	nm4957491,nm5860645
tt10171904	nm0754303	\N
tt10172168	nm6081402,nm4563809	nm7324773,nm4563809
tt10172266	nm5870715	nm10615709,nm5870715,nm6611735
tt10172366	nm10615773	nm10615773
tt10172522	nm0651723	nm0651723
tt10172716	nm0850958	nm0988351,nm0896554,nm4295140
tt10172986	nm10616200	nm10616200
tt10174052	nm0238051,nm11243087	nm0238051,nm11243087
tt10175106	nm4003211	nm7278977,nm4003211
tt10176540	nm4105672,nm4548003	nm4105672,nm4548003
tt10176564	nm1674617,nm10616974	nm1674617,nm10616974
tt10176944	nm7430742	nm10617213,nm7430742
tt10177344	nm7112736	nm8436842,nm7112736,nm8436882
tt10177394	nm4883365	nm4883365
tt10178004	nm2614879	nm2614879
tt10178386	nm10618332	nm10618332
tt10179354	nm1847774	nm1847774
tt10179362	nm4982082	nm0406585,nm10616334
tt10181900	nm10615670	nm10615670
tt10182420	nm4571073	nm4571073,nm2324637,nm1417249
tt10182646	nm2416074	nm3729744,nm2416074
tt10183816	nm1212040	nm0325406
tt10183870	nm1477694	nm1477694
tt10186074	nm3659847	nm3659847
tt10187208	nm1481493	nm0662530,nm1481493,nm8546908,nm8649527
tt10187378	nm3124865	nm3124865
tt10187680	nm11291485,nm6424427	nm11291485,nm6424427,nm12231750
tt10188398	nm2959350	nm2959350
tt10188456	\N	nm0434079
tt10188844	nm10622541,nm11954824	nm10622541
tt10189338	nm10817563	nm10817563,nm10165856
tt10189464	nm1513213,nm1556106	\N
tt10189514	nm1464314	nm1464314,nm5289834,nm7373491,nm8641855,nm6314922,nm13222819,nm8985377
tt10189536	nm4074500	nm4074500,nm2737830
tt10192352	nm2080637,nm7220102	nm2080637
tt10192406	nm10244091	nm7727974,nm11442868,nm10623801
tt10192566	nm0552565	nm2916080
tt10192682	nm10623977	nm10623977
tt10192704	nm7371314	nm7371314
tt10192746	nm0633075	nm0633075
tt10193064	nm1153494,nm1167927	nm13954765
tt10193142	nm1852101	nm1852101
tt10193540	nm4512524	\N
tt10193608	nm3079697	nm3606147,nm3079697
tt10193752	nm3730725,nm4519461	nm12653673,nm12653674,nm4519461
tt10194058	nm3344990	nm3344990
tt10194710	nm0168674	nm0168674
tt10195248	nm9135613	nm9135613
tt10195462	nm10625100	nm10625100,nm5422576,nm0690252
tt10195722	nm5794274	nm5794274
tt10196086	nm10625557,nm0349882	nm10625557,nm0349882
tt10196108	nm1029158	nm1029158,nm0051304
tt10196368	nm9276171	nm3822097,nm9276171,nm10678822
tt10196398	nm0243355	nm0243355,nm0738925,nm5473573
tt10196414	nm6746115,nm5328353	\N
tt10196440	nm10625892	\N
tt10196480	nm3116681	nm3116681
tt10196516	nm7943697	\N
tt10196538	nm5016491	nm5016491,nm6012019
